repeticoes,27,28-30,31-33,34-35,36-38,39-41,42-44,45-50,51+
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,2.9
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,3.1
25,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.8,3.4
26,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.0,3.7
27,0.0,0.0,0.0,0.0,0.0,2.0,2.7,3.3,4.0
28,0.0,0.0,0.0,0.0,0.0,2.2,3.0,3.5,4.4
29,0.0,0.0,0.0,0.0,0.0,2.4,3.3,3.8,4.8
30,0.0,0.0,0.0,0.0,2.0,2.7,3.7,4.0,5.1
31,0.0,0.0,0.0,2.0,2.2,2.9,4.0,4.4,5.5
32,0.0,0.0,2.0,2.2,2.4,3.1,4.3,4.8,5.9
33,0.0,0.0,2.2,2.4,2.7,3.3,4.7,5.1,6.3
34,0.0,0.0,2.4,2.7,2.9,3.6,5.0,5.5,6.6
35,0.0,2.0,2.6,2.9,3.1,3.8,5.3,5.9,7.0
36,0.0,2.2,2.8,3.1,3.3,4.0,5.7,6.3,7.4
37,2.0,2.4,3.0,3.3,3.6,4.3,6.0,6.6,7.8
38,2.3,2.6,3.2,3.6,3.8,4.6,6.3,7.0,8.2
39,2.5,2.8,3.4,3.8,4.0,4.9,6.7,7.2,8.6
40,2.8,3.0,3.6,4.0,4.3,5.2,7.0,7.4,9.0
41,3.0,3.2,3.8,4.3,4.7,5.5,7.2,7.6,9.3
42,3.3,3.4,4.0,4.6,5.0,5.8,7.4,7.8,9.7
43,3.5,3.6,4.4,4.9,5.3,6.1,7.6,8.0,10.0
44,3.8,3.8,4.8,5.2,5.7,6.4,7.8,8.2,10.0
45,4.0,4.0,5.1,5.5,6.0,6.7,8.0,8.4,10.0
46,4.3,4.4,5.5,5.8,6.3,7.0,8.2,8.6,10.0
47,4.6,4.8,5.9,6.1,6.7,7.3,8.4,8.8,10.0
48,4.9,5.1,6.3,6.4,7.0,7.6,8.6,9.0,10.0
49,5.2,5.5,6.6,6.7,7.3,7.9,8.8,9.3,10.0
50,5.5,5.9,7.0,7.0,7.6,8.1,9.0,9.7,10.0
51,5.8,6.3,7.3,7.3,7.9,8.4,9.3,10.0,10.0
52,6.1,6.6,7.5,7.7,8.1,8.7,9.7,10.0,10.0
53,6.4,7.0,7.8,8.0,8.4,9.0,10.0,10.0,10.0
54,6.7,7.3,8.0,8.3,8.7,9.3,10.0,10.0,10.0
55,7.0,7.5,8.3,8.7,9.0,9.7,10.0,10.0,10.0
56,7.3,7.8,8.5,9.0,9.3,10.0,10.0,10.0,10.0
57,7.6,8.0,8.8,9.3,9.7,10.0,10.0,10.0,10.0
58,7.9,8.3,9.0,9.5,10.0,10.0,10.0,10.0,10.0
59,8.1,8.5,9.3,9.8,10.0,10.0,10.0,10.0,10.0
60,8.4,8.8,9.5,10.0,10.0,10.0,10.0,10.0,10.0
61,8.7,9.0,9.8,10.0,10.0,10.0,10.0,10.0,10.0
62,9.0,9.3,10.0,10.0,10.0,10.0,10.0,10.0,10.0
63,9.3,9.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0
64,9.5,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0
65,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
66,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
