tempo_hhmmss,19,20-29,30-39,40-49,50+
00:51:54,0.0,0.0,0.0,0.0,0.0
00:51:37,0.0,0.0,0.0,0.0,0.0
00:51:20,0.0,0.0,0.0,0.0,0.0
00:51:04,0.0,0.0,0.0,0.0,0.0
00:50:48,0.0,0.0,0.0,0.0,0.0
00:50:32,0.0,0.0,0.0,0.0,0.0
00:50:16,0.0,0.0,0.0,0.0,0.0
00:50:00,0.0,0.0,0.0,0.0,10.0
00:49:39,0.0,0.0,0.0,0.0,10.6
00:49:24,0.0,0.0,0.0,0.0,11.1
00:49:09,0.0,0.0,0.0,0.0,11.7
00:48:54,0.0,0.0,0.0,0.0,12.2
00:48:39,0.0,0.0,0.0,0.0,12.8
00:48:24,0.0,0.0,0.0,0.0,13.3
00:48:10,0.0,0.0,0.0,0.0,13.9
00:47:55,0.0,0.0,0.0,0.0,14.4
00:47:41,0.0,0.0,0.0,0.0,15.0
00:47:27,0.0,0.0,0.0,0.0,15.6
00:47:13,0.0,0.0,0.0,0.0,16.1
00:47:00,0.0,0.0,0.0,10.0,16.7
00:46:54,0.0,0.0,0.0,10.5,17.2
00:46:41,0.0,0.0,0.0,11.0,17.8
00:46:27,0.0,0.0,0.0,11.5,18.3
00:46:14,0.0,0.0,0.0,12.0,18.9
00:46:00,0.0,0.0,0.0,12.5,19.4
00:45:47,0.0,0.0,0.0,13.0,20.0
00:45:34,0.0,0.0,0.0,13.5,20.8
00:45:21,0.0,0.0,0.0,14.0,21.7
00:45:08,0.0,0.0,0.0,14.5,22.5
00:44:56,0.0,0.0,0.0,15.0,23.3
00:44:43,0.0,0.0,0.0,15.5,24.2
00:44:30,0.0,0.0,10.0,16.0,25.0
00:44:10,0.0,0.0,10.5,16.5,25.8
00:43:58,0.0,0.0,11.0,17.0,26.7
00:43:46,0.0,0.0,11.5,17.5,27.5
00:43:34,0.0,0.0,12.0,18.0,28.3
00:43:22,0.0,0.0,12.5,18.5,29.2
00:43:11,0.0,0.0,13.0,19.0,30.0
00:42:59,0.0,0.0,13.5,19.5,30.8
00:42:48,0.0,0.0,14.0,20.0,31.7
00:42:36,0.0,0.0,14.5,20.8,32.5
00:42:25,0.0,0.0,15.0,21.6,33.3
00:42:14,0.0,0.0,15.5,22.4,34.2
00:42:00,0.0,10.0,16.0,23.2,35.0
00:41:55,0.0,10.6,16.5,23.9,35.6
00:41:44,0.0,11.1,17.0,24.7,36.1
00:41:34,0.0,11.7,17.5,25.5,36.7
00:41:23,0.0,12.2,18.0,26.3,37.2
00:41:12,0.0,12.8,18.5,27.1,37.8
00:41:00,10.0,13.3,19.0,27.9,38.3
00:40:51,10.5,13.9,19.5,28.7,38.9
00:40:41,11.1,14.4,20.0,29.5,39.4
00:40:30,11.6,15.0,20.8,30.3,40.0
00:40:20,12.1,15.6,21.6,31.1,40.6
00:40:10,12.6,16.1,22.4,31.8,41.1
00:40:00,13.2,16.7,23.2,32.6,41.7
00:39:50,13.7,17.2,23.9,33.4,42.2
00:39:40,14.2,17.8,24.7,34.2,42.8
00:39:30,14.7,18.3,25.5,35.0,43.3
00:39:21,15.3,18.9,26.3,35.5,43.9
00:39:11,15.8,19.4,27.1,36.0,44.4
00:39:00,16.3,20.0,27.9,36.5,45.0
00:38:52,16.8,20.8,28.7,37.0,46.7
00:38:43,17.4,21.7,29.5,37.5,48.3
00:38:33,17.9,22.5,30.3,38.8,50.0
00:38:24,18.4,23.3,31.1,38.5,50.0
00:38:15,18.9,24.2,31.8,39.0,50.0
00:38:06,19.5,25.0,32.6,39.5,50.0
00:37:57,20.0,25.8,33.4,40.0,50.0
00:37:48,20.8,26.7,34.2,40.5,50.0
00:37:39,21.6,27.5,35.0,41.0,50.0
00:37:30,22.4,28.3,35.5,41.5,50.0
00:37:21,23.2,29.2,36.1,42.0,50.0
00:37:13,23.9,30.0,36.6,42.5,50.0
00:37:04,24.7,30.8,37.1,43.0,50.0
00:36:55,25.5,31.7,37.6,43.5,50.0
00:36:47,26.3,32.5,38.2,44.0,50.0
00:36:38,27.1,33.3,38.7,44.5,50.0
00:36:30,27.9,34.2,39.2,45.0,50.0
00:36:19,28.7,35.0,39.7,46.7,50.0
00:36:11,29.5,35.6,40.3,48.3,50.0
00:36:03,30.3,36.1,40.8,50.0,50.0
00:35:55,31.1,36.7,41.3,50.0,50.0
00:35:47,31.8,37.2,41.8,50.0,50.0
00:35:39,32.6,37.8,42.4,50.0,50.0
00:35:31,33.4,38.3,42.9,50.0,50.0
00:35:23,34.2,38.9,43.4,50.0,50.0
00:35:15,35.0,39.4,43.9,50.0,50.0
00:35:07,35.5,40.0,44.5,50.0,50.0
00:35:00,36.1,40.6,45.0,50.0,50.0
00:34:52,36.6,41.1,46.7,50.0,50.0
00:34:44,37.1,41.7,48.3,50.0,50.0
00:34:37,37.6,42.2,50.0,50.0,50.0
00:34:29,38.2,42.8,50.0,50.0,50.0
00:34:22,38.7,43.3,50.0,50.0,50.0
00:34:15,39.2,43.9,50.0,50.0,50.0
00:34:07,39.7,44.4,50.0,50.0,50.0
00:34:00,40.3,45.0,50.0,50.0,50.0
00:33:55,40.8,46.7,50.0,50.0,50.0
00:33:48,41.3,48.3,50.0,50.0,50.0
00:33:41,41.8,50.0,50.0,50.0,50.0
00:33:34,42.4,50.0,50.0,50.0,50.0
00:33:27,42.9,50.0,50.0,50.0,50.0
00:33:20,43.4,50.0,50.0,50.0,50.0
00:33:13,43.9,50.0,50.0,50.0,50.0
00:33:06,44.5,50.0,50.0,50.0,50.0
00:33:00,45.0,50.0,50.0,50.0,50.0
00:32:53,46.7,50.0,50.0,50.0,50.0
00:32:46,48.3,50.0,50.0,50.0,50.0
00:32:39,50.0,50.0,50.0,50.0,50.0
