dist_m,29,30-33,34-38,39-44,45
1470,0.0,0.0,0.0,0.0,0.0
1480,0.0,0.0,0.0,0.0,0.0
1490,0.0,0.0,0.0,0.0,0.0
1500,0.0,0.0,0.0,0.0,0.0
1510,0.0,0.0,0.0,0.0,0.0
1520,0.0,0.0,0.0,0.0,0.0
1530,0.0,0.0,0.0,0.0,0.0
1540,0.0,0.0,0.0,0.0,10.0
1550,0.0,0.0,0.0,0.0,10.9
1560,0.0,0.0,0.0,0.0,11.8
1570,0.0,0.0,0.0,0.0,12.7
1580,0.0,0.0,0.0,0.0,13.6
1590,0.0,0.0,0.0,0.0,14.5
1600,0.0,0.0,0.0,10.0,15.5
1610,0.0,0.0,0.0,10.9,16.4
1620,0.0,0.0,0.0,11.8,17.3
1630,0.0,0.0,0.0,12.7,18.2
1640,0.0,0.0,0.0,13.6,19.1
1650,0.0,0.0,10.0,14.5,20.0
1660,0.0,0.0,10.6,15.5,20.7
1670,0.0,0.0,11.1,16.4,21.4
1680,0.0,0.0,11.7,17.3,22.1
1690,0.0,10.0,12.2,18.2,22.9
1700,0.0,10.6,12.8,19.1,23.6
1710,0.0,11.1,13.3,20.0,24.3
1720,0.0,11.7,13.9,20.8,25.0
1730,0.0,12.2,14.4,21.6,25.7
1740,0.0,12.8,15.0,22.4,26.4
1750,0.0,13.3,15.6,23.2,27.1
1760,10.0,13.9,16.1,23.9,27.9
1770,10.5,14.4,16.7,24.7,28.6
1780,11.1,15.0,17.2,25.5,29.3
1790,11.6,15.6,17.8,26.3,30.0
1800,12.1,16.1,18.3,27.1,30.7
1810,12.6,16.7,18.9,27.9,31.4
1820,13.2,17.2,19.4,28.7,32.1
1830,13.7,17.8,20.0,29.5,32.9
1840,14.2,18.3,20.6,30.3,33.6
1850,14.7,18.9,21.1,31.1,34.3
1860,15.3,19.4,21.7,31.8,35.0
1870,15.8,20.0,22.2,32.6,35.7
1880,16.3,20.5,22.8,33.4,36.4
1890,16.8,21.1,23.3,34.2,37.1
1900,17.4,21.6,23.9,35.0,37.9
1910,17.9,22.1,24.4,35.3,38.6
1920,18.4,22.7,25.0,35.7,39.3
1930,18.9,23.2,25.6,36.0,40.0
1940,19.5,23.8,26.1,36.3,40.7
1950,20.0,24.3,26.7,36.7,41.4
1960,20.6,24.8,27.2,37.0,42.1
1970,21.2,25.4,27.8,37.3,42.9
1980,21.8,25.9,28.3,37.7,43.6
1990,22.4,26.4,28.9,38.0,44.3
2000,23.0,27.0,29.4,38.3,45.0
2010,23.6,27.5,30.0,38.7,46.3
2020,24.2,28.0,30.6,39.0,47.5
2030,24.8,28.6,31.1,39.3,48.8
2040,25.4,29.1,31.7,39.7,50.0
2050,26.0,29.6,32.2,40.0,50.0
2060,26.6,30.2,32.8,40.3,50.0
2070,27.2,30.7,33.3,40.7,50.0
2080,27.8,31.3,33.9,41.0,50.0
2090,28.4,31.8,34.4,41.3,50.0
2100,29.0,32.3,35.0,41.7,50.0
2110,29.6,32.9,35.4,42.0,50.0
2120,30.2,33.4,35.8,42.3,50.0
2130,30.8,33.9,36.2,42.7,50.0
2140,31.4,34.5,36.5,43.0,50.0
2150,32.0,35.0,36.9,43.3,50.0
2160,32.6,35.4,37.3,43.7,50.0
2170,33.2,35.8,37.7,44.0,50.0
2180,33.8,36.2,38.1,44.3,50.0
2190,34.4,36.6,38.5,44.7,50.0
2200,35.0,37.0,38.8,45.0,50.0
2210,35.3,37.4,39.2,46.3,50.0
2220,35.7,37.8,39.6,47.5,50.0
2230,36.0,38.2,40.0,48.8,50.0
2240,36.4,38.6,40.4,50.0,50.0
2250,36.7,39.0,40.8,50.0,50.0
2260,37.1,39.4,41.2,50.0,50.0
2270,37.4,39.8,41.5,50.0,50.0
2280,37.8,40.2,41.9,50.0,50.0
2290,38.1,40.6,42.3,50.0,50.0
2300,38.4,41.0,42.7,50.0,50.0
2310,38.8,41.4,43.1,50.0,50.0
2320,39.1,41.8,43.5,50.0,50.0
2330,39.5,42.2,43.8,50.0,50.0
2340,39.8,42.6,44.2,50.0,50.0
2350,40.2,43.0,44.6,50.0,50.0
2360,40.5,43.4,45.0,50.0,50.0
2370,40.9,43.8,46.3,50.0,50.0
2380,41.2,44.2,47.5,50.0,50.0
2390,41.6,44.6,48.8,50.0,50.0
2400,41.9,45.0,50.0,50.0,50.0
2410,42.2,46.3,50.0,50.0,50.0
2420,42.6,47.5,50.0,50.0,50.0
2430,42.9,48.8,50.0,50.0,50.0
2440,43.3,50.0,50.0,50.0,50.0
2450,43.6,50.0,50.0,50.0,50.0
2460,44.0,50.0,50.0,50.0,50.0
2470,44.3,50.0,50.0,50.0,50.0
2480,44.7,50.0,50.0,50.0,50.0
2490,45.0,50.0,50.0,50.0,50.0
2500,45.6,50.0,50.0,50.0,50.0
2510,46.3,50.0,50.0,50.0,50.0
2520,46.9,50.0,50.0,50.0,50.0
2530,47.5,50.0,50.0,50.0,50.0
2540,48.1,50.0,50.0,50.0,50.0
2550,48.8,50.0,50.0,50.0,50.0
2560,49.4,50.0,50.0,50.0,50.0
2570,50.0,50.0,50.0,50.0,50.0
