dist_m,29,30-31,32-35,36-38,39-41,42-43,44-47,48+
1790,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1810,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1820,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1830,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1850,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1870,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1880,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6
1910,0.0,0.0,0.0,0.0,0.0,0.0,10.0,11.3
1920,0.0,0.0,0.0,0.0,0.0,0.0,10.6,11.9
1930,0.0,0.0,0.0,0.0,0.0,0.0,11.2,12.5
1940,0.0,0.0,0.0,0.0,0.0,0.0,11.8,13.1
1950,0.0,0.0,0.0,0.0,0.0,0.0,12.4,13.8
1960,0.0,0.0,0.0,0.0,0.0,10.0,12.9,14.4
1970,0.0,0.0,0.0,0.0,0.0,10.7,13.5,15.0
1980,0.0,0.0,0.0,0.0,0.0,11.4,14.1,15.6
1990,0.0,0.0,0.0,0.0,0.0,12.1,14.7,16.3
2000,0.0,0.0,0.0,0.0,10.0,12.9,15.3,16.9
2010,0.0,0.0,0.0,10.0,10.5,13.6,15.9,17.5
2020,0.0,0.0,0.0,10.4,10.9,14.3,16.5,18.1
2030,0.0,0.0,0.0,10.8,11.4,15.0,17.1,18.8
2040,0.0,0.0,0.0,11.3,11.8,15.7,17.6,19.4
2050,0.0,0.0,10.0,11.7,12.3,16.4,18.2,20.0
2060,0.0,0.0,10.4,12.1,12.7,17.1,18.8,20.7
2070,0.0,0.0,10.8,12.5,13.2,17.9,19.4,21.4
2080,0.0,10.0,11.2,12.9,13.6,18.6,20.0,22.0
2090,0.0,10.4,11.6,13.3,14.1,19.3,20.7,22.7
2100,0.0,10.7,12.0,13.8,14.5,20.0,21.4,23.4
2110,0.0,11.1,12.4,14.2,15.0,20.6,22.0,24.1
2120,0.0,11.5,12.8,14.6,15.5,21.2,22.7,24.8
2130,10.0,11.9,13.2,15.0,15.9,21.8,23.4,25.5
2140,10.4,12.2,13.6,15.4,16.4,22.4,24.1,26.1
2150,10.7,12.6,14.0,15.8,16.8,23.0,24.8,26.8
2160,11.1,13.0,14.4,16.3,17.3,23.6,25.5,27.5
2170,11.4,13.3,14.8,16.7,17.7,24.2,26.1,28.2
2180,11.8,13.7,15.2,17.1,18.2,24.8,26.8,28.9
2190,12.1,14.1,15.6,17.5,18.6,25.4,27.5,29.5
2200,12.5,14.4,16.0,17.9,19.1,26.0,28.2,30.2
2210,12.9,14.8,16.4,18.3,19.5,26.6,28.9,30.9
2220,13.2,15.2,16.8,18.8,20.0,27.2,29.5,31.6
2230,13.6,15.6,17.2,19.2,20.8,27.8,30.2,32.3
2240,13.9,15.9,17.6,19.6,21.7,28.4,30.9,33.0
2250,14.3,16.3,18.0,20.0,22.5,29.0,31.6,33.6
2260,14.6,16.7,18.4,20.5,23.3,29.6,32.3,34.3
2270,15.0,17.0,18.8,21.0,24.2,30.2,33.0,35.0
2280,15.4,17.4,19.2,21.5,25.0,30.8,33.6,35.6
2290,15.7,17.8,19.6,22.0,25.8,31.4,34.3,36.2
2300,16.1,18.1,20.0,22.5,26.7,32.0,35.0,36.8
2310,16.4,18.5,20.5,23.0,27.5,32.6,35.3,37.4
