repeticoes,18-21,22-25,26-29,30-33,34-37,38-41,42-45,46
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0
8,0.0,0.0,0.0,0.0,0.0,2.0,4.0,4.8
9,0.0,0.0,0.0,0.0,2.0,4.0,4.6,5.6
10,0.0,0.0,0.0,2.0,4.0,4.6,5.2,6.3
11,2.0,0.0,2.0,4.0,4.6,5.2,5.8,7.0
12,4.0,2.0,4.0,4.6,5.2,5.8,6.4,7.7
13,4.6,4.0,4.6,5.2,5.8,6.4,7.0,8.4
14,5.2,4.5,5.2,5.8,6.4,7.0,7.7,9.0
15,5.8,5.0,5.8,6.4,7.0,7.7,8.4,9.4
16,6.4,5.5,6.4,7.0,7.7,8.4,9.0,9.7
17,7.0,6.0,7.0,7.7,8.4,9.0,9.3,10.0
18,7.7,6.5,7.7,8.4,9.0,9.3,9.5,10.0
19,8.4,7.0,8.4,9.0,9.3,9.5,9.8,10.0
20,9.0,7.7,9.0,9.3,9.5,9.8,10.0,10.0
21,9.3,8.4,9.3,9.5,9.8,10.0,10.0,10.0
22,9.5,9.0,9.5,9.8,10.0,10.0,10.0,10.0
23,9.8,9.3,9.8,10.0,10.0,10.0,10.0,10.0
24,10.0,9.5,10.0,10.0,10.0,10.0,10.0,10.0
25,10.0,9.8,10.0,10.0,10.0,10.0,10.0,10.0
26,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
