repeticoes,20,21-30,31-34,35-38,39-41,42-43,44-49,50-52,53+
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3
13,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.3,2.7
14,0.0,0.0,0.0,0.0,0.0,2.0,2.3,2.7,3.0
15,0.0,0.0,0.0,0.0,2.0,2.3,2.7,3.0,3.3
16,0.0,0.0,0.0,0.0,2.2,2.7,3.0,3.3,3.7
17,0.0,0.0,0.0,2.0,2.4,3.0,3.3,3.7,4.0
18,0.0,0.0,0.0,2.3,2.6,3.3,3.7,4.0,4.6
19,0.0,0.0,0.0,2.5,2.8,3.7,4.0,4.4,5.2
20,0.0,0.0,2.0,2.8,3.0,4.0,4.5,4.9,5.8
21,0.0,0.0,2.2,3.0,3.2,4.3,5.0,5.3,6.4
22,0.0,2.0,2.4,3.3,3.4,4.7,5.5,5.7,7.0
23,0.0,2.2,2.7,3.5,3.6,5.0,6.0,6.1,7.3
24,0.0,2.4,2.9,3.8,3.8,5.3,6.5,6.6,7.6
25,2.0,2.7,3.1,4.0,4.0,5.7,7.0,7.0,7.9
26,2.2,2.9,3.3,4.3,4.3,6.0,7.2,7.4,8.1
27,2.4,3.1,3.6,4.5,4.6,6.3,7.4,7.8,8.4
28,2.7,3.3,3.8,4.8,4.9,6.7,7.5,8.2,8.7
29,2.9,3.6,4.0,5.0,5.2,7.0,7.7,8.6,9.0
30,3.1,3.8,4.3,5.3,5.5,7.2,7.9,9.0,9.5
31,3.3,4.0,4.6,5.5,5.8,7.4,8.1,9.3,10.0
32,3.6,4.3,4.9,5.8,6.1,7.7,8.3,9.7,10.0
33,3.8,4.5,5.2,6.0,6.4,7.9,8.5,10.0,10.0
34,4.0,4.8,5.5,6.3,6.7,8.1,8.6,10.0,10.0
35,4.3,5.1,5.8,6.5,7.0,8.3,8.8,10.0,10.0
36,4.5,5.4,6.1,6.8,7.3,8.6,9.0,10.0,10.0
37,4.8,5.6,6.4,7.0,7.7,8.8,9.3,10.0,10.0
38,5.1,5.9,6.7,7.3,8.0,9.0,9.7,10.0,10.0
39,5.4,6.2,7.0,7.7,8.3,9.3,10.0,10.0,10.0
40,5.6,6.5,7.3,8.0,8.7,9.7,10.0,10.0,10.0
41,5.9,6.7,7.6,8.3,9.0,10.0,10.0,10.0,10.0
42,6.2,7.0,7.9,8.7,9.3,10.0,10.0,10.0,10.0
43,6.5,7.2,8.1,9.0,9.7,10.0,10.0,10.0,10.0
44,6.7,7.4,8.4,9.3,10.0,10.0,10.0,10.0,10.0
45,7.0,7.5,8.7,9.7,10.0,10.0,10.0,10.0,10.0
46,7.2,7.7,9.0,10.0,10.0,10.0,10.0,10.0,10.0
47,7.4,7.9,9.3,10.0,10.0,10.0,10.0,10.0,10.0
48,7.6,8.1,9.5,10.0,10.0,10.0,10.0,10.0,10.0
49,7.8,8.3,9.8,10.0,10.0,10.0,10.0,10.0,10.0
50,8.0,8.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0
51,8.2,8.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0
52,8.4,8.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0
53,8.6,9.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
54,8.8,9.2,10.0,10.0,10.0,10.0,10.0,10.0,10.0
55,9.0,9.4,10.0,10.0,10.0,10.0,10.0,10.0,10.0
56,9.2,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0
57,9.4,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0
58,9.6,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
59,9.8,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
60,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
61,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
